province_index,province_id,red,green,blue,local_name,common_name,old_imperial_name,religious_name,enemy_name,region_id,controller,terrain,biome,terrain_feature,primary_resource,road_level,port_level,fort_level,mana_site_level,strategic_value,center_x,center_y,pixel_area,is_seed_frontier
21,PROV_ROV_BASIN_013,10,237,151,Torrel Granary,Torrel Granary,Old Road Ledger 013,Rov Basin Shrine 013,Torrel Granary Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,73,1342.38,607.99,1708,no
22,PROV_ROV_BASIN_014,209,60,4,Halem Crossing,Halem Crossing,Old Road Ledger 014,Rov Basin Shrine 014,Halem Crossing Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,78,1533.54,617.95,3444,no
23,PROV_ROV_BASIN_015,151,138,113,Bridge Bridge,Bridge Bridge,Old Road Ledger 015,Rov Basin Shrine 015,Bridge Bridge Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,83,1594.67,627.56,2243,no
24,PROV_ROV_BASIN_016,93,216,222,Meron Canal,Meron Canal,Old Road Ledger 016,Rov Basin Shrine 016,Meron Canal Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,80,1642.29,615.52,3718,no
25,PROV_ROV_BASIN_017,36,39,75,Sevrin Ford,Sevrin Ford,Old Road Ledger 017,Rov Basin Shrine 017,Sevrin Ford Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,78,1674.7,632.98,1537,no
26,PROV_ROV_BASIN_018,234,117,184,Ledger Gate,Ledger Gate,Old Road Ledger 018,Rov Basin Shrine 018,Ledger Gate Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,81,1176.74,663.87,2004,no
27,PROV_ROV_BASIN_019,176,196,37,Measure Measure,Measure Measure,Old Road Ledger 019,Rov Basin Shrine 019,Measure Measure Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,79,1215.6,670.27,2258,no
28,PROV_ROV_BASIN_020,119,18,146,Maro Court,Maro Court,Old Road Ledger 020,Rov Basin Shrine 020,Maro Court Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,72,1261.82,674.33,2814,no
29,PROV_ROV_BASIN_021,61,96,255,Rov Field,Rov Field,Old Road Ledger 021,Rov Basin Shrine 021,Rov Field Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,canal_farmland,farmland,canal_farmland,GRAIN,3,0,2,0,72,1299.59,659.62,1806,no
30,PROV_ROV_BASIN_022,3,175,108,Canal Lock,Canal Lock,Old Road Ledger 022,Rov Basin Shrine 022,Canal Lock Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,76,1377.54,651.92,4917,no
31,PROV_ROV_BASIN_023,201,253,217,Torrel Granary,Torrel Granary,Old Road Ledger 023,Rov Basin Shrine 023,Torrel Granary Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,80,1549.43,659.85,2014,no
32,PROV_ROV_BASIN_024,144,76,70,Halem Crossing,Halem Crossing,Old Road Ledger 024,Rov Basin Shrine 024,Halem Crossing Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,83,1617.14,685.69,4776,no
33,PROV_ROV_BASIN_025,86,154,179,Bridge Bridge,Bridge Bridge,Old Road Ledger 025,Rov Basin Shrine 025,Bridge Bridge Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,77,1228.93,763.23,1302,no
34,PROV_ROV_BASIN_026,28,233,32,Meron Canal,Meron Canal,Old Road Ledger 026,Rov Basin Shrine 026,Meron Canal Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,75,1213.95,959.5,3459,no
35,PROV_ROV_BASIN_027,227,55,141,Sevrin Ford,Sevrin Ford,Old Road Ledger 027,Rov Basin Shrine 027,Sevrin Ford Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,73,1768.06,949.44,4985,no
36,PROV_ROV_BASIN_028,169,133,250,Ledger Gate,Ledger Gate,Old Road Ledger 028,Rov Basin Shrine 028,Ledger Gate Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,71,1222.55,1010.11,4565,no
37,PROV_ROV_BASIN_029,111,212,103,Measure Measure,Measure Measure,Old Road Ledger 029,Rov Basin Shrine 029,Measure Measure Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,0,2,0,78,1336.07,1005.95,5559,no
38,PROV_ROV_BASIN_030,54,34,212,Maro Court,Maro Court,Old Road Ledger 030,Rov Basin Shrine 030,Maro Court Insult-Name,REG_ROV_BASIN,FAC_ROV_HALEN,river_city,farmland,river_city,GRAIN,3,1,2,0,82,1413.92,991.0,6194,no
39,PROV_GREYHOOK_001,252,113,65,Kavor Bridge,Kavor Bridge,Outer Record 001,Greyhook Spine Shrine 001,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,2266.48,210.44,3288,no
40,PROV_GREYHOOK_002,194,191,174,Vault Forge,Vault Forge,Outer Record 002,Greyhook Spine Shrine 002,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2312.65,216.51,1603,no
41,PROV_GREYHOOK_003,137,14,27,West Vault,West Vault,Outer Record 003,Greyhook Spine Shrine 003,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2364.51,221.44,3017,no
42,PROV_GREYHOOK_004,79,92,136,Den Spur,Den Spur,Outer Record 004,Greyhook Spine Shrine 004,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2194.72,260.73,3140,no
43,PROV_GREYHOOK_005,21,170,245,Greyhook Pass,Greyhook Pass,Outer Record 005,Greyhook Spine Shrine 005,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2256.66,269.04,3250,no
44,PROV_GREYHOOK_006,219,249,98,Ferrum Hold,Ferrum Hold,Outer Record 006,Greyhook Spine Shrine 006,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,92,2328.78,271.29,5180,no
45,PROV_GREYHOOK_007,162,71,207,Gear Gate,Gear Gate,Outer Record 007,Greyhook Spine Shrine 007,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2194.8,306.97,3211,no
46,PROV_GREYHOOK_008,104,150,60,Anvil Mine,Anvil Mine,Outer Record 008,Greyhook Spine Shrine 008,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2258.57,317.04,2597,no
47,PROV_GREYHOOK_009,46,228,169,Stone Door,Stone Door,Outer Record 009,Greyhook Spine Shrine 009,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2206.26,364.87,3769,no
48,PROV_GREYHOOK_010,245,51,22,Deepmark Cut,Deepmark Cut,Outer Record 010,Greyhook Spine Shrine 010,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,99,2259.85,361.24,1861,no
49,PROV_GREYHOOK_011,187,129,131,Kavor Bridge,Kavor Bridge,Outer Record 011,Greyhook Spine Shrine 011,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,91,2314.85,343.82,5302,no
50,PROV_GREYHOOK_012,129,207,240,Vault Forge,Vault Forge,Outer Record 012,Greyhook Spine Shrine 012,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,97,2195.92,437.54,4375,no
51,PROV_GREYHOOK_013,72,30,93,West Vault,West Vault,Outer Record 013,Greyhook Spine Shrine 013,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2257.22,411.76,3857,no
52,PROV_GREYHOOK_014,14,108,202,Den Spur,Den Spur,Outer Record 014,Greyhook Spine Shrine 014,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,92,2324.59,414.53,4546,no
53,PROV_GREYHOOK_015,212,187,55,Greyhook Pass,Greyhook Pass,Outer Record 015,Greyhook Spine Shrine 015,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,87,2389.0,443.68,6246,no
54,PROV_GREYHOOK_016,155,9,164,Ferrum Hold,Ferrum Hold,Outer Record 016,Greyhook Spine Shrine 016,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2645.62,441.94,5879,no
55,PROV_GREYHOOK_017,97,88,17,Gear Gate,Gear Gate,Outer Record 017,Greyhook Spine Shrine 017,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,97,2256.29,474.18,4518,no
56,PROV_GREYHOOK_018,39,166,126,Anvil Mine,Anvil Mine,Outer Record 018,Greyhook Spine Shrine 018,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,95,2330.11,483.44,3933,no
57,PROV_GREYHOOK_019,237,244,235,Stone Door,Stone Door,Outer Record 019,Greyhook Spine Shrine 019,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,2799.31,472.04,4412,no
58,PROV_GREYHOOK_020,180,67,88,Deepmark Cut,Deepmark Cut,Outer Record 020,Greyhook Spine Shrine 020,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,79,1664.87,537.6,3497,no
59,PROV_GREYHOOK_021,122,145,197,Kavor Bridge,Kavor Bridge,Outer Record 021,Greyhook Spine Shrine 021,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,79,1721.44,536.46,1656,no
60,PROV_GREYHOOK_022,64,224,50,Vault Forge,Vault Forge,Outer Record 022,Greyhook Spine Shrine 022,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,77,1768.83,531.67,1938,no
61,PROV_GREYHOOK_023,7,46,159,West Vault,West Vault,Outer Record 023,Greyhook Spine Shrine 023,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,75,2052.18,523.22,1117,no
62,PROV_GREYHOOK_024,205,125,12,Den Spur,Den Spur,Outer Record 024,Greyhook Spine Shrine 024,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,78,2100.88,545.04,2546,no
63,PROV_GREYHOOK_025,147,203,121,Greyhook Pass,Greyhook Pass,Outer Record 025,Greyhook Spine Shrine 025,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,97,2142.26,531.69,1858,no
64,PROV_GREYHOOK_026,90,25,230,Ferrum Hold,Ferrum Hold,Outer Record 026,Greyhook Spine Shrine 026,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,2196.18,515.89,5170,no
65,PROV_GREYHOOK_027,32,104,83,Gear Gate,Gear Gate,Outer Record 027,Greyhook Spine Shrine 027,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,99,2273.13,567.54,6493,no
66,PROV_GREYHOOK_028,230,182,192,Anvil Mine,Anvil Mine,Outer Record 028,Greyhook Spine Shrine 028,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2302.18,528.49,2473,no
67,PROV_GREYHOOK_029,173,5,45,Stone Door,Stone Door,Outer Record 029,Greyhook Spine Shrine 029,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,88,2349.48,548.16,4262,no
68,PROV_GREYHOOK_030,115,83,154,Deepmark Cut,Deepmark Cut,Outer Record 030,Greyhook Spine Shrine 030,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2861.47,521.19,4380,no
69,PROV_GREYHOOK_031,57,162,7,Kavor Bridge,Kavor Bridge,Outer Record 031,Greyhook Spine Shrine 031,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,96,2916.76,548.05,3314,no
70,PROV_GREYHOOK_032,255,240,116,Vault Forge,Vault Forge,Outer Record 032,Greyhook Spine Shrine 032,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,75,1710.22,570.25,974,no
71,PROV_GREYHOOK_033,198,62,225,West Vault,West Vault,Outer Record 033,Greyhook Spine Shrine 033,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,91,2143.14,583.78,4387,no
72,PROV_GREYHOOK_034,140,141,78,Den Spur,Den Spur,Outer Record 034,Greyhook Spine Shrine 034,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2215.94,594.83,4797,no
73,PROV_GREYHOOK_035,82,219,187,Greyhook Pass,Greyhook Pass,Outer Record 035,Greyhook Spine Shrine 035,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,96,2970.18,574.28,3648,no
74,PROV_GREYHOOK_036,25,42,40,Ferrum Hold,Ferrum Hold,Outer Record 036,Greyhook Spine Shrine 036,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,88,2143.65,644.45,5118,no
75,PROV_GREYHOOK_037,223,120,149,Gear Gate,Gear Gate,Outer Record 037,Greyhook Spine Shrine 037,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,85,2239.47,650.6,5569,no
76,PROV_GREYHOOK_038,165,199,2,Anvil Mine,Anvil Mine,Outer Record 038,Greyhook Spine Shrine 038,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2937.65,640.96,3282,no
77,PROV_GREYHOOK_039,108,21,111,Stone Door,Stone Door,Outer Record 039,Greyhook Spine Shrine 039,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2986.13,624.1,3400,no
78,PROV_GREYHOOK_040,50,99,220,Deepmark Cut,Deepmark Cut,Outer Record 040,Greyhook Spine Shrine 040,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,96,3042.72,645.29,2722,no
79,PROV_GREYHOOK_041,248,178,73,Kavor Bridge,Kavor Bridge,Outer Record 041,Greyhook Spine Shrine 041,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,74,2192.42,713.19,8874,no
80,PROV_GREYHOOK_042,191,0,182,Vault Forge,Vault Forge,Outer Record 042,Greyhook Spine Shrine 042,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,96,2891.72,705.1,2968,no
81,PROV_GREYHOOK_043,133,79,35,West Vault,West Vault,Outer Record 043,Greyhook Spine Shrine 043,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2984.03,689.69,3139,no
82,PROV_GREYHOOK_044,75,157,144,Den Spur,Den Spur,Outer Record 044,Greyhook Spine Shrine 044,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,3038.09,699.35,3961,no
83,PROV_GREYHOOK_045,17,235,253,Greyhook Pass,Greyhook Pass,Outer Record 045,Greyhook Spine Shrine 045,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,73,1828.71,764.53,7124,no
84,PROV_GREYHOOK_046,216,58,106,Ferrum Hold,Ferrum Hold,Outer Record 046,Greyhook Spine Shrine 046,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2799.96,763.07,4236,no
85,PROV_GREYHOOK_047,158,136,215,Gear Gate,Gear Gate,Outer Record 047,Greyhook Spine Shrine 047,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2857.9,751.8,4742,no
86,PROV_GREYHOOK_048,100,215,68,Anvil Mine,Anvil Mine,Outer Record 048,Greyhook Spine Shrine 048,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2918.02,748.86,3069,no
87,PROV_GREYHOOK_049,43,37,177,Stone Door,Stone Door,Outer Record 049,Greyhook Spine Shrine 049,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2970.25,747.86,4919,no
88,PROV_GREYHOOK_050,241,116,30,Deepmark Cut,Deepmark Cut,Outer Record 050,Greyhook Spine Shrine 050,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,79,1778.64,819.08,7761,no
89,PROV_GREYHOOK_051,183,194,139,Kavor Bridge,Kavor Bridge,Outer Record 051,Greyhook Spine Shrine 051,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,97,2605.24,782.33,5286,no
90,PROV_GREYHOOK_052,126,16,248,Vault Forge,Vault Forge,Outer Record 052,Greyhook Spine Shrine 052,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2661.78,791.18,3674,no
91,PROV_GREYHOOK_053,68,95,101,West Vault,West Vault,Outer Record 053,Greyhook Spine Shrine 053,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2712.85,816.35,3136,no
92,PROV_GREYHOOK_054,10,173,210,Den Spur,Den Spur,Outer Record 054,Greyhook Spine Shrine 054,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2759.8,804.69,2623,no
